English,Reference,marian_translation,mbart_translation,mt5_translation
Thirty five other men involved in the racket were jailed for a total of 153 years for drugs offences.,गिरोह में शामिल पैंतीस अन्य सदस्यों को नशीली दवा अपराधों के लिए कुल 153 वर्ष के लिए कारावास भेजा दिया गया।,इन्हें कुल मिलाकर १५३ साल तक नशीले पदार्थों के अपराधों के लिए जेल में डाला गया ।,Thirty five other men involved in the racket were jailed for a total of 153 years for drugs offences.,<extra_id_0>
"On his website Ditta gave a question and answer session about himself in which he says his fantasy job would be a lawyer representing clients on Death Row in America, his ultimate dinner guest as being Mohammed Ali and inequality as his motivation for work.","अपनी वेबसाइट पर डिट्टा ने अपने बारे में प्रश्न और उत्तर सत्र दिया, जिसमें उसने कहा कि उसकी फैन्टैसी जॉब होगी अमेरिका में मृत्यु दंड वाले क्लाइंट के लिए वकील बनना, मोहम्मद अली का उनका डिनर मेहमान होना तथा असमानता उनके कार्य के लिए प्रेरणा होना।","उसकी वेबसाइट डायला ने अपने बारे में एक सवाल और उत्तर सत्र दिया जिसमें वह अपनी कल्पना नौकरी के बारे में कहता है कि अमेरिका में मौत की पंक्ति पर ग्राहकों का प्रतिनिधित्व करता है, अपने अंतिम भोजन मेहमान के रूप में काम करने की प्रेरणा के रूप में","On his website Ditta gave a question and answer session about himself in which he says his fantasy job would be a lawyer representing clients on Death Row in America, his ultimate dinner guest as being Mohammed Ali and inequality as his motivation for work.",<extra_id_0> in Hindi
Kenyan press outraged at controversial media law,विवादित मीडिया कानून पर केन्या का प्रेस आक्रोशित,केन्याई प्रेस ने विवादपूर्ण मीडिया व्यवस्था पर कलंक लगाया,Kenyan press outraged at controversial media law,<extra_id_0>
"""It is a frightening place, and it is valid to ask: what is there to prevent Parliament from simply sweeping away the independence of the judiciary tomorrow?"" the paper said, challenging the bill as unconstitutional.","समाचार पत्र ने विधेयक को असंवैधानिक के रूप में चुनौती देते हुए कहा कि ""यह भयावह स्थान है, तथा यह पूछना वैध है किः आने वाले कल में संसद द्वारा न्यायपालिका की स्वतंत्रता छीनने से रोकने के लिए क्या है?""","""यह एक डरावना जगह है, और यह पूछना वैध है: क्या है सिर्फ बड़े पैमाने पर सरकार की स्वतंत्रता को रोकने के लिए क्या है?"" कागज ने कहा, ""एक अजीब बात यह है कि कानून के रूप में बिल चुनौती दिया।","""It is a frightening place, and it is valid to ask: what is there to prevent Parliament from simply sweeping away the independence of the judiciary tomorrow?"" the paper said, challenging the bill as unconstitutional.",<extra_id_0>.
"""This law is draconian and very punitive and we reject it,"" said Cyrus Kamau, managing director for Capital Group - home to CapitalFM, one of Kenya's most respected independent radio stations and news websites.","कैपिटल ग्रुप - जो केन्या के सबसे प्रतिष्ठित स्वतंत्र रेडियो स्टेशन तथा समाचार वेबसाइट कैपिटलएफएम. की संचालक कम्पनी है, के प्रबन्ध निदेशक साइरस कमाऊ ने कहा कि ""यह कानून क्रूर तथा बहुत ही दंडात्मक है, तथा हम इसे अस्वीकार करते हैं।""","""इस कानून को निकाल दिया गया है और बहुत ही phomu और हम इसे अस्वीकार करते हैं,"" कुस्रू Kmuu ने कहा, राजधानी समूह के लिए निदेशक, की तुलना में से एक केन्या के सबसे प्रसिद्ध रेडियो स्टेशनों और समाचार वेबसाइटों में से एक।","""This law is draconian and very punitive and we reject it,"" said Cyrus Kamau, managing director for Capital Group - home to CapitalFM, one of Kenya's most respected independent radio stations and news websites.",<extra_id_0>.
"He said the new media tribunal ""will always be biased because it's an extension of the government,"" and that restrictions on content and advertising would damage Kenya's place in the global economy.","उन्होंने कहा कि नया मीडिया न्यायाधिकरण ""हमेशा पक्षपातपूर्ण रहेगा, क्योंकि यह सरकार का ही अंग है"" तथा कहा कि विषय-वस्तु और विज्ञापन पर प्रतिबन्ध लगाया जाना, वैश्विक अर्थव्यवस्था में केन्या के स्थान को नुकसान पहुंचाएगा।","उन्होंने कहा कि नए मीडिया ""हमेशा अत्याचार किया जाएगा क्योंकि यह सरकार का एक विस्तार है,"" और सामग्री पर प्रतिबंधों और विज्ञापन दुनिया भर की अर्थव्यवस्था में केन्या की जगह को नुकसान होगा।","He said the new media tribunal ""will always be biased because it's an extension of the government,"" and that restrictions on content and advertising would damage Kenya's place in the global economy.",<extra_id_0> of content and advertising
"""I hope the president will listen to us, and we appeal to him to reject this bill and return it to the MPs,"" he said.","उन्होंने कहा कि ""मैं उम्मीद करता हूँ कि राष्ट्रपति हमारी बात सुनेंगे, तथा हम उनसे अपील करते हैं कि वे इस विधेयक को अस्वीकृत करके एम.पी. लोगों को वापस भेज दें।""","""मुझे आशा है कि राष्ट्रपति हमारी सुनेंगे, और हम उसे इस बिल को अस्वीकार करने के लिए अनुरोध करते हैं और MPs के लिए इसे लौटा देते हैं,"" उन्होंने कहा.","""I hope the president will listen to us, and we appeal to him to reject this bill and return it to the MPs,"" he said.",<extra_id_0> to
"According to The Star newspaper, the new bill will effectively hand the government ""a stranglehold over the media,"" while The Standard said democracy and free speech in Kenya had been ""dealt a major blow"" and lambasted the bill as ""draconian.""","दि स्टार समाचार-पत्र के अनुसार, नया विधेयक सरकार को ""मीडिया पर सख्त नियंत्रण"" प्रदान करेगा, जबकि दि स्टैन्डर्ड ने कहा कि केन्या में लोकतंत्र तथा बोलने की स्वतंत्रता ""को तगड़ा झटका लगा"" है तथा इस विधेयक को क्रूर बताया है।","स्टार समाचार पत्र के अनुसार, नए बिल ने सरकार को प्रभावशाली रूप से "" मीडिया के ऊपर डाल दिया है,"" जबकि केन्या में मानक ने कहा कि लोकतंत्र और मुफ्त बोली ""एक प्रमुख झटका"" था और मेम्ने ने कहा कि ""अकालियन"" के रूप में.","According to The Star newspaper, the new bill will effectively hand the government ""a stranglehold over the media,"" while The Standard said democracy and free speech in Kenya had been ""dealt a major blow"" and lambasted the bill as ""draconian.""",<extra_id_0> -
The passing of the bill comes amid a string of measures to reinforce national security in the wake of the September's attack by Islamist gunmen on the Westgate shopping mall.,"इस विधेयक को, सितम्बर में वेस्टगेट शॉपिंग मॉल में इस्लामी बंदूकधारी द्वारा हमला करने के पश्चात राष्ट्रीय सुरक्षा को मजबूत बनाने के उपायों में से के रूप में पारित किया जा रहा है।","बिल के पास एक स्ट्रिंग है जिसमें सितंबर के हमले के बाद, इस्लामी लोगों ने पश्‍चिमी बाज़ार पर राष्ट्रीय सुरक्षा को मज़बूत करने के लिए कदम उठाए हैं ।",The passing of the bill comes amid a string of measures to reinforce national security in the wake of the September's attack by Islamist gunmen on the Westgate shopping mall.,<extra_id_0> of
Kenya media drew the ire of authorities by broadcasting security camera footage of troops who were dispatched to the scene of the attack purportedly robbing the upmarket mall.,"केन्या की मीडिया ने हमले वाली जगह पर भेजे गए दस्तों के सिक्योरिटी कैमरा फुटेज का प्रसारण कर दिया था, जिसमें उन्हें मॉल को सोउद्देश्य रूप से लूटते हुए दिखाया था, जिसके कारण अधिकारीगण केन्या के मीडिया से नाराज हो गए थे।","केन्या के मीडिया ने सैनिकों के सुरक्षा कैमरा फुट तक पहुँचाने के द्वारा अधिकारियों को आकर्षित किया, जो उस हमले के दृश्‍य में भेजे गए थे ।",Kenya media drew the ire of authorities by broadcasting security camera footage of troops who were dispatched to the scene of the attack purportedly robbing the upmarket mall.,<extra_id_0>
"Police chief David Kimaiyo reacted by summoning two journalists and a media executive for questioning, although the summons was retracted following a media outcry.","पुलिस प्रमुख डेविड किमायो ने दो पत्रकारों और मीडियाकर्मी को पूछताछ के लिए समन भेजा था, यद्यपि मीडिया द्वारा हंगामा करने के पश्चात इस समन को वापस ले लिया गया था।","पुलिस प्रमुख डेविड किथयो ने दो पत्रकारों और सवाल के लिए एक मीडिया अधिकारी को बुलाने के द्वारा प्रतिक्रिया दिखायी, हालाँकि यह पुकार एक मीडिया की पुकार को बदल रही थी ।","Police chief David Kimaiyo reacted by summoning two journalists and a media executive for questioning, although the summons was retracted following a media outcry.",<extra_id_0> -
"Under the new bill, media houses can be fined up to 20 million Kenyan shillings and individual journalists up to one million with the additional risk of being ""de-listed,"" or barred from receiving official press accreditation.","नए विधेयक के अन्तर्गत मीडिया कम्पनियों पर 2 करोड़ केन्याई शिलिंग तथा अलग-अलग पत्रकारों को दस लाख केन्याई शिलिंग पर जुर्माना किया जा सकता है तथा, उसके अतिरिक्त ""सूची से हटाए जाने"" अथवा आधिकारिक प्रेस मान्यता न दिए जाने का अतिरिक्त जोखिम अलग रहेगा।","नए बिल के तहत, मीडिया घरों को 20 लाख तक ठीक कर दिया जा सकता है केन्या के शोच और व्यक्तिगत पत्रकारों के लिए एक लाख डॉलर के साथ एक लाख तक कि ""द-विस्त किया गया,"" या सरकारी प्रेस को प्राप्त करने से रोका जा सकता है.","Under the new bill, media houses can be fined up to 20 million Kenyan shillings and individual journalists up to one million with the additional risk of being ""de-listed,"" or barred from receiving official press accreditation.",<extra_id_0>.
The tribunal also has the power to seize the property of an offender if a fine is not paid.,दंड का भुगतान न किए जाने पर न्यायाधिकरण के पास उल्लंघनकर्ता की सम्पत्ति जब्त करने का अधिकार भी है।,"अगर किसी को कोई अच्छी चीज़ नहीं दी जाती, तो वह किसी अपराधी की संपत्ति को भी पकड़ सकता है ।",The tribunal has the power to seize the property of an offender if a fine is not paid.,<extra_id_0>
"According to the Daily Nation, ""even one fine is enough to cripple most FM stations.""","डेली नेशन के अनुसार ""अधिकांश एफ.एम. स्टेशनों की नींव हिलाने के लिए एक अर्थदंड ही पर्याप्त है।""","दैनिक राष्ट्र के अनुसार, ""एक भी अच्छा भी है अधिक FM स्टेशनों को रोकने के लिए.""","According to the Daily Nation, ""even one fine is enough to cripple most FM stations.""",<extra_id_0>
"It also said the measures could have a devastating effect on what it described as Kenya's ""lively blogosphere.""","इसने यह भी कहा कि इन उपायों के कारण उस परविनाशकारी प्रभाव हो सकते हैं जिसक केन्या के ""जीवंत ब्लॉगोस्फेयर"" के रूप में वर्णन किया जाता है।","यह भी कहना है कि इस समस्या का एक विध्वंसकारी प्रभाव केन्या के ""पारिभाषिक"" के रूप में वर्णित किया जा सकता है।","It also said the measures could have a devastating effect on what it described as Kenya's ""lively blogosphere.""",<extra_id_0>
"By silencing the media, politicians know they can do whatever they like with impunity.",मीडिया का मुह बंद करने के द्वारा राजनेता जानते हैं कि वे अपनी मनमानी कर सकते हैं।,"मीडिया का विरोध करने के द्वारा, राजनीतिज्ञ जानते हैं कि वे जो कुछ भी कर सकते हैं वह दण्ड के साथ किया जा सकता है.","By silencing the media, politicians know they can do whatever they like with impunity.",<extra_id_0>
"""No one will ever know,"" wrote Nation journalist Mutuma Mathiu, describing the Kenyan media as a key source of checks and balances in public life.","नेशन के पत्रकार मुटुमा मैथ्यू केन्याई मीडिया का सार्वजनिक जीवन में नियंत्रण और संतुलन के प्रमुख स्रोत के रूप में वर्णन करते हुए लिखते हैं ""किसी को कभी पता भी नहीं चलेगा।""","""कोई भी कभी पता नहीं होगा,"" एक राष्ट्र पत्रकार MATCATAu ने लिखा, जो केन्याई मीडिया का वर्णन सार्वजनिक जीवन में जांच और संतुलन के एक प्रमुख स्रोत के रूप में करता है।","""No one will ever know,"" wrote Nation journalist Mutuma Mathiu, describing the Kenyan media as a key source of checks and balances in public life.",<extra_id_0>
"""Left to themselves, politicians would bankrupt the country and take us back to hunting and gathering,"" he wrote.","उन्होंने लिखा ""राजनेताओं पर छोड़ दिए जाने पर वे देश को दिवालिया करके हमें वापस शिकार और जमा वाले युग में पहुंचा देंगे।""","""अपने आप को छोड़, नेताओं देश खराब होगा और हमें शिकार करने और इकट्ठा करने के लिए वापस ले जाएगा,"" उन्होंने लिखा.","""Left to themselves, politicians would bankrupt the country and take us back to hunting and gathering,"" he wrote.",<extra_id_0>.
Kenyan lawmakers have been the target of public anger in the past.,अतीत में केन्याई विधिनिर्माताओं को लोगों के गुस्से का सामना करना पड़ा है।,केन्या के कानून बनानेवालों को पुराने ज़माने में लोगों पर गुस्सा होने का निशाना बनाया गया है ।,Kenyan lawmakers have been the target of public anger in the past.,<extra_id_0>
"In May they voted to overturn cuts ordered by the national salaries commission and reinstate their hefty salaries of around 532,000 shillings a month tax-free - ranked among the highest in the world.","मई में उन्होंने राष्ट्रीय वेतन आयोग द्वारा आदेशित कटौतियों को अस्वीकार करने के पक्ष में मत दिया था, तथा लगभग 532,000 शिलिंग प्रतिमाह, कर मुक्त तगड़े वेतन को बहाल किया था, जिसे दुनिया उच्चतम में से माना जाता है।",मई में वे सरकार के आदेशों द्वारा आदेश भंग करने के लिए वोट दिया... / मैं ... और अपने Hegigigigigigigigigigigigigigigigigio के माध्यम से दुनिया के सबसे ऊंचे के बीच एक महीने में एक महीने के लिए कर - सीमा.,"In May they voted to overturn cuts ordered by the national salaries commission and reinstate their hefty salaries of around 532,000 shillings a month tax-free - ranked among the highest in the world.",<extra_id_0>.
"Although Nita Ambani, the wife of the world's richest Indian, Mukesh Ambani, celebrates her birthday on November 1st, as the clocks struck twelve on the night of October 30th, the whole of Jaipur began to celebrate Nita Ambani's birthday.","दुनिया के सबसे अमीर भारतीय मुकेश अंबानी की पत्नी का बर्थ डे यूं तो एक नवंबर को है, लेकिन जैसे ही 30 अक्टूबर की रात घड़ियों ने बारह बजा, पूरा जोधपुर नीता अंबानी के बर्थडे से गूंजने लगा।","हालांकि नताता Abarthi, दुनिया के अमीर भारतीय की पत्नी, Mkkh Akyli, नवंबर 1 पर उसके जन्मदिन का जश्न मनाते हैं, के रूप में अक्टूबर 30 बजे की रात को मारा था, उद्देश्य का पूरा नीता के जन्मदिन मनाने के लिए शुरू हो गया.","When the clocks struck twelve on the night of October 30th, the whole of Jaipur began to celebrate Nita Ambani's birthday.",<extra_id_0> of Jaipur
"Prior to that, the mood of the occasion had already been set by A.R. Rahman and his group's performance.",इससे पहले जश्न का माहौल पूरी तरह एआर रहमान की टीम की परफॉर्मेंस से बन चुका था।,"उस से पहले, अवसर का मूड पहले से ही A.R. रहमान और उसके समूह के प्रदर्शन द्वारा स्थापित किया गया था।",A.R. Rahman and his group's performance.,<extra_id_0>
A.R. Rahman sang his signature songs in the musical evening that started at 8 p.m.,रात 8 बजे शुरू हुए इस म्यूजिकल नाइट में रहमान अपने सिग्नेचर सांग्स की प्रस्तुति दी।,"8 पेज पर शुरू की शाम, खुदा ने अपने हस्ताक्षर गीत गाए ।",A.R. Rahman sang his signature songs in the musical evening that started at 8 p.m.,<extra_id_0>
Priyanka Chopra was on stage to add colour with her dances.,डांस के खूबसूरत रंग घोलेंने के लिए प्रियंका चोपड़ा मंच पर थीं।,प्रियाका काउरा अपने नृत्यों के साथ रंग जोड़ने के लिए मंच पर थी.,Priyanka Chopra was on stage to add colour with her dances.,<extra_id_0>
Guests arrived in around 32 chartered aircraft to attend Nita Ambani's birthday party.,नीता अंबानी के बर्थ डे में शामिल होने वाले मेहमानों के लिए करीब 32 चार्टर जोधपुर पहुंचे।,मेहमान 32 के आस - पास के हवाई जहाज़ में आए जो नताताई के जन्मदिन की पार्टी में हाज़िर हुआ था ।,Guests arrived in around 32 chartered aircraft to attend Nita Ambani's birthday party.,<extra_id_0>
"As space at Jodhpur Airport was inadequate, the chartered planes landed at Jaipur, Delhi, Udaipur and Jodhpur.","जोधपुर एयरपोर्ट पर पार्किंग की स्पेस कम होने की वजह से चार्टर जयपुर, दिल्ली, उदयपुर और जोधपुर में पार्क किया गया।","जब योएवर हवाई अड्डे पर जगह असमर्थ थी, तो अभियोजक विमानों ने दिल्ली, दिल्ली, यूडीएव और योधधे पर हमला किया ।","As space at Jodhpur Airport was inadequate, the chartered planes landed at Jaipur, Delhi, Udaipur and Jodhpur.",<extra_id_0> in
"same way 135 luxury cars were also used, including BMWs and Jaguars.",इसी तरह 135 लक्जरी कारें जिनमें बीएमडब्ल्यू और जुगआर मंगवाई गई।,"इसी तरह 135 लोगों की गाड़ियों का भी इस्तेमाल किया जाता था, जिनमें BMWW और Jugars भी शामिल थे ।","same way 135 luxury cars were used, including BMWs and Jaguars.",<extra_id_0>
Sood said that the city's sanitation system and street lights had totally broken down.,"सूद ने कहा कि शहर में सफाई व्यवस्था, स्ट्रीट लाइट बिल्कुल फेल हो चुकी है।",इसलिए नूडल ने कहा कि शहर की साफ व्यवस्था और सड़कों की रोशनी पूरी तरह से टूट गई थी।,Sood said that the city's sanitation system and street lights had totally broken down.,<extra_id_0>
No steps were being taken by the municipal corporation and HUDA to run Panchkula city centre.,पंचकूला के सिटी सेंटर को चलाने के लिए नगर निगम एवं हुडा द्वारा कोई कदम नहीं उठाया जा रहा है।,प्रशासनिक निगम द्वारा कोई क़दम नहीं उठाया जा रहा था और HUDDS को पैनेला शहर केंद्र चलाने के लिए।,No steps were being taken by the municipal corporation and HUDA to run Panchkula city centre.,<extra_id_0>
He demanded the complete abolition of house tax in Panchkula.,उन्होंने पंचकूला से गृहकर पूरी तरह समाप्त करने की माग की है।,उसने पैनीला में कर के तौर पर घर का पूरा इंतज़ाम करने की माँग की ।,He demanded the complete abolition of house tax in Panchkula.,<extra_id_0>
"On Friday, while addressing a press conference here, V.K. Sood said that, after the municipal corporation elections the city got a new councillor and mayor, but they do not have the powers necessary to get the work done.","यहां शुक्रवार को एक प्रेस कांफ्रेंस को संबोधित करते हुए वीके सूद ने कहा कि नगर निगम चुनावों के बाद शहर को नए पार्षद एवं मेयर तो मिल गई हैं, लेकिन इनके पास काम करवाने की शक्तिया ही नहीं है।","शुक्रवार को, यहाँ प्रेस सम्मेलन को संबोधित करते समय, वी.","On Friday, while addressing a press conference here, V.K. Sood said that, after the municipal corporation elections the city got a new councillor and mayor, but they do not have the powers necessary to get the work done.",<extra_id_0> elections
So the city councillors have become dummies and officers are doing as they pleased.,इसके चलते शहर के पार्षद एक डम्मी बन गए है और अधिकारी अपने हिसाब से ही काम कर रहे है।,इसलिए शहर के परिषद्‌ और अधिकारियों की इच्छा के अनुसार काम कर रहे हैं।,So the city councillors have become dummies and officers are doing as they pleased.,<extra_id_0>.
"Sood said that the municipal corporation has crores of rupees at its disposal, but all the money is in the form of Bank FDs and interest is being earned on it.","सूद ने कहा कि नगर निगम के पास करोड़ों रुपये पड़े है, लेकिन सारा पैसा बैंकों में एफडी के रूप में जमा करवाकर ब्याज वसूला जा रहा है।","सोडो ने कहा कि प्रशासनिक निगम में पैसा जमा करने के लिए पैसा होता है, लेकिन सभी पैसा बैंक FDs के रूप में और दिलचस्पी उसी पर कमाया जा रहा है ।","Sood said that the municipal corporation has crores of rupees at its disposal, but all the money is in the form of Bank FDs and interest is being earned on it.",<extra_id_0>
So no steps are being taken to use that money for the development of the city.,परतु पैसा शहर के विकास पर लगाने के लिए कोई कदम नहीं उठाया जा रहा।,इसलिए शहर के विकास के लिए उस पैसे का इस्तेमाल करने के लिए कोई कदम नहीं उठाया जा सकता ।,So no steps are being taken to use that money for the development of the city.,<extra_id_0>
V.K. Sood said the refuse dump issue is the most serious problem.,वीके सूद ने कहा कि डपिंग ग्राउंड की समस्या सबसे गंभीर है।,V.K. तो नू ने इनकार करने के मुद्दे को कहा सबसे गंभीर समस्या है.,V.K. Sood said the refuse dump issue is the most serious problem.,<extra_id_0>
"By creating a dump in Sector 23, people living in sectors beyond Ghaggar are forced to live a hellish life.",सेक्टर 23 में डपिंग ग्राउंड बनाने के कारण घग्गर पार सेक्टरों में रहने वाले लोग पिछले कई वर्षाें से नारकीय जिंदगी जीने को मजबूर हैं।,सेक्टर २३ में एक डंप बनाने के द्वारा... / मैं ... गायबों से परे क्षेत्र में रहने वाले लोगों को मजबूर कर दिया जाता है... ... एक अमर जीवन जीने के लिए मजबूर कर दिया जाता है.,"By creating a dump in Sector 23, people living in sectors beyond Ghaggar are forced to live a hellish life.",<extra_id_0>
"The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.","नगर निगम के अधिकारी पिछले कई वर्षाें से गाव झूरीवाला में डपिंग ग्राउंड को शिफ्ट करने की बात कर रहे हैं, लेकिन बरवाला क्षेत्र के लोग तो पहले ही मक्खियों की गंभीर समस्या से दो-चार हो रहे है।",इस इलाके के निवासी पहले से ही मक्खियों के साथ गंभीर समस्या का सामना कर रहे हैं ।,"The municipal corporation officers have been talking about shifting the dump to the village of Jhuriwala for the past several years now, but the inhabitants of the Barwala area are already facing a serious problem with flies.",<extra_id_0> of Barwala
He said that healthcare and educational facilities are extremely bad.,उन्होंने कहा कि गावों में स्वास्थ्य सेवाओं एवं शिक्षा व्यवस्था की हालत बिल्कुल खराब हो चुकी है।,उसने कहा कि स्वास्थ्य चिकित्सा और शैक्षिक सुविधाओं को बहुत ही बुरा समझा जा सकता है ।,He said that healthcare and educational facilities are extremely bad.,<extra_id_0>
No work has yet been started to provide facilities for rural inhabitants.,ग्रामीण क्षेत्र में लोगों को सुविधाएं देने के लिए आज तक कोई काम शुरू ही नहीं हुआ।,अब तक यहाँ के गाँवों में रहने के लिए कोई भी काम शुरू नहीं किया गया है ।,No work has yet been started to provide facilities for rural inhabitants.,<extra_id_0>
UN hails new goals to tackle poverty,यू.एन. ने निर्धनता से निपटने के लिए नए लक्ष्य निर्धारित किए,गरीबी से निपटने के नए लक्ष्य,UN hails new goals to tackle poverty,<extra_id_0>
"The United Nations is to start work immediately on a new set of goals to replace the millennium development goals, which were put place 12 years ago to tackle global poverty.","संयुक्त राष्ट्र तत्काल ही लक्ष्यों के नए समूह पर कार्य आरंभ करने वाला है, जो सहस्राब्दि विकास लक्ष्यों का स्थान लेंगे, जिन्हें वैश्विक निर्धनता से निपटने के लिए 12 वर्ष पहले आरंभ किया गया था।","संयुक्‍त राष्ट्र, मिलेनियम के विकास के लक्ष्यों को बदलने के लिए फौरन एक नए लक्ष्य पर काम शुरू कर रहा है, जो दुनिया - भर में गरीबी का सामना करने के लिए 12 साल पहले रखा गया था ।","The United Nations is to start work immediately on a new set of goals to replace the millennium development goals, which were put place 12 years ago to tackle global poverty.",<extra_id_0>
"Australian diplomats played a key role in pushing for ""sustainable development goals"" to replace the MDGs, which expire in 2015, ahead of the UN sustainable development summit that began in Rio de Janeiro overnight.","वर्ष 2015 में समाप्त हो रहे एम.डी.डी. को प्रतिस्थापित करने के लिए, ""संवहनीय विकास लक्ष्यों"" को आगे बढ़ाने में ऑस्ट्रेलियाई राजनयिक ने रिओ डे जैनेरो में रात भर में आरंभ हुए संवहनीय विकास शिखर सम्मेलन से ठीक पहले महत्वपूर्ण भूमिका निभाई।","2015 में संयुक्‍त राष्ट्र के स्थिर विकास शिखर सम्मेलन के पहले, जो रियो डि जनेरो में शुरू हुआ.","Australian diplomats played a key role in pushing for ""sustainable development goals"" to replace the MDGs, which expire in 2015, ahead of the UN sustainable development summit that began in Rio de Janeiro overnight.",<extra_id_0> in Hindi
"They were included in the final draft of the document, which will be endorsed by world leaders including Ms Gillard during the summit.","इन्हें दस्तावेज के अंतिम प्रारूप में शामिल किया गया था, जिसका शिखर सम्मेलन के दौरान सुश्री गिलार्ड समेत विश्व नेताओं द्वारा समर्थन किया जाएगा।","वे उस दस्तावेज़ के अंतिम मसौदा में शामिल थे, जो दुनिया के नेताओं द्वारा आयोजित किया जाएगा, जिनमें एम.","They were included in the draft of the document, which will be endorsed by world leaders including Ms Gillard during the summit.",<extra_id_0>.
"UN Secretary-General Ban Ki-moon told the summit overnight that now is the time to ""rise above national interests.""","यू.एन. महासचिव बैन कि-मून ने रात्रि शिखर सम्मेलन में कहा कि ""राष्ट्रीय हितों से ऊपर उठने"" का समय आ गया है।","UN सचिव कि कि-मोन ने कहा कि अब "" राष्ट्रीय हितों के ऊपर उठने का समय है।""","UN Secretary-General Ban Ki-moon told the summit overnight that now is the time to ""rise above national interests.""",<extra_id_0> -
"""I am pleased that member states have agreed to launch and take ownership of a process to establish universal sustainable development goals - SDGs,"" he said.","उन्होंने कहा कि ""मुझे बहुत प्रसन्नता है कि सदस्य देश सार्वभौमिक संवहनीय विकास लक्ष्य स्थापित करने हेतु प्रक्रिया आरंभ करने तथा उसका स्वामित्व लेने के लिए सहमत हो गए हैं।""","""मैं खुश हूँ कि सदस्य कहते हैं लॉन्च करने और एक प्रक्रिया का मालिक लेने के लिए सहमत हो गया है विश्‍वभर में स्थिर विकास - SDGs,"" उन्होंने कहा.","""I am pleased that member states have agreed to launch and take ownership of a process to establish universal sustainable development goals - SDGs,"" he said.",<extra_id_0>.
"These SDGs will build on our advances under the millennium development goals, and they will be an integral part of the post-2015 development framework.","ये एस.डी.जी. सहस्राब्दि विकास लक्ष्यों के अन्तर्गत हमारे विकास पर आधारित होंगे, तथा ये 2015 के पश्चात विकास रूपरेखा का समग्र अंग होंगे।","इन SDGEG हमारे विकास लक्ष्य के तहत हमारी प्रगति पर निर्माण करेंगे, और वे पोस्ट-2015 विकास फ्रेमवर्क का एक अनिवार्य भाग होगा.","These SDGs will build on our advances under the millennium development goals, and they will be an integral part of the post-2015 development framework.",<extra_id_0>
I will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs.,एम.डी.जी. की सफलता पर आधारित संवहनीय विकास लक्ष्यों के हमारे दूरगामी उद्देश्यों को पूर्ण करने के लिए हमारे सदस्य देशों द्वारा मुझे दिए गए अधिदेश का क्रियान्वयन करने के लिए मैं हरसंभव प्रयास करूंगा।,"मैं उस आज्ञा को लागू करने के लिए कोई प्रयास नहीं करूँगा जिसे सदस्य ने कहा है कि मज़बूत विकास के हमारे दर्शन को समझने के लिए, जो MDGs की सफलता पर निर्माण करते हैं ।",I will spare no effort to implement the mandate given to me by member states to realise our vision of sustainable development goals that build on the success of the MDGs.,<extra_id_0>.
Mozambique security concerns mount as powerful personalities clash,मोजाम्बिक की सुरक्षा चिंता का विषय ताकतवर शख्सियतों टकराव के रूप में बढ़ते हैं,मोज़ेनिया सुरक्षा की चिंता करता है जैसे शक्‍तिशाली व्यक्‍ति आपस में लड़ते - झगड़ते हैं,Mozambique security concerns mount as powerful personalities clash,<extra_id_0>
"With a statue of Samora Machel, Mozambique's founding president, staring down on them, thousands of people gathered in central Maputo to chant peace slogans in a rare public demonstration.","मोजाम्बिक संस्थापक राष्ट्रपति सैमोरा की एक मूर्ति के साथ, जो उन पर नीचे घूर रही थी,  केंद्रीय मापुटो में एकत्र हुए हजार लोग एक दुर्लभ सार्वजनिक प्रदर्शन में  शांति के नारे  के लिए.",एक छोटे से सार्वजनिक प्रदर्शन में शांति के नाराों का उच्चारण करने के लिए मध्य इतिहास में हज़ारों लोग जमा हुए.,"With a statue of Samora Machel, Mozambique's founding president, staring down on them, thousands of people gathered in central Maputo to chant peace slogans in a rare public demonstration.",<extra_id_0>.
